SNo,State,Total-Active-Cases,Cured,Death,Total-Confirmed-Cases
0,Total,545423,1059909,35800,1641555
1,Maharashtra,148150,248615,14729,411798
2,Tamil Nadu,57959,178178,3841,239978
3,Delhi,10743,119724,3936,134403
4,Karnataka,69699,46694,2230,118632
5,Andhra Pradesh,69252,60024,1281,130557
6,Uttar Pradesh,32649,46803,1587,81039
7,Gujarat,13695,44176,2414,60285
8,West Bengal,19900,46256,1536,67692
9,Telangana,16796,45388,519,62703
10,Rajasthan,11038,29231,667,40936
11,Bihar,16042,31673,285,48001
12,Haryana,6497,27340,417,34254
13,Assam,9230,29081,94,38408
14,Madhya Pradesh,8454,21657,857,30968
15,Odisha,10427,19746,205,30378
16,Jammu and Kashmir,7662,11842,365,19869
17,Kerala,10056,12159,71,22304
18,Punjab,4577,10509,370,15456
19,Jharkhand,6120,4176,103,10399
20,Chhattisgarh,2884,5921,51,8856
21,Uttarakhand,2955,3996,76,7065
22,Goa,1657,4005,42,5704
23,Tripura,1721,2962,21,4722
24,Puducherry,1292,1958,48,3298
25,Manipur,829,1672,4,2505
26,Himachal Pradesh,1089,1387,13,2506
27,Ladakh,278,1094,6,1378
28,Nagaland,935,625,4,1566
29,Arunachal Pradesh,654,827,3,1484
30,Chandigarh,355,647,14,1016
31,Dadra and Nagar Haveli and Daman and Diu,406,684,2,1103
32,Meghalaya,588,210,5,803
33,Sikkim,395,214,1,610
34,Mizoram,174,234,0,409
35,Andaman and Nicobar Islands,265,201,3,470
